step,loss,mean_jf_clean,mean_jf_adv,delta_jf
10,0.7748105525970459,,,
20,0.11244072765111923,,,
30,0.4736078679561615,,,
40,0.6880269050598145,,,
50,0.3494434952735901,,,
60,0.16895227134227753,,,
70,0.2549789249897003,,,
80,0.7608016133308411,,,
90,0.12092015892267227,,,
100,0.614036500453949,,,
110,0.03439280018210411,,,
120,0.08810693025588989,,,
130,0.06130588799715042,,,
140,0.23533573746681213,,,
150,0.21700406074523926,,,
160,0.1613297015428543,,,
170,0.05126294493675232,,,
180,0.19739186763763428,,,
190,0.015242737717926502,,,
200,0.06233686953783035,,,
210,0.01458614319562912,,,
220,0.10525642335414886,,,
230,0.13968518376350403,,,
240,0.013778723776340485,,,
250,0.09987431019544601,,,
260,0.12718255817890167,,,
270,0.024257101118564606,,,
280,0.03590656444430351,,,
290,0.14543983340263367,,,
300,0.05241946503520012,,,
310,0.13321086764335632,,,
320,0.3031729757785797,,,
330,0.2196413278579712,,,
340,0.06240273267030716,,,
350,0.12101690471172333,,,
360,0.01009767223149538,,,
370,0.008514420129358768,,,
380,0.07187607139348984,,,
390,0.08894210308790207,,,
400,0.09511325508356094,,,
410,0.06716898828744888,,,
420,0.05553838610649109,,,
430,0.08294937014579773,,,
440,0.21213364601135254,,,
450,0.03255888819694519,,,
460,0.04760359227657318,,,
470,0.016821645200252533,,,
480,0.04057813808321953,,,
490,0.02094949595630169,,,
500,0.15626227855682373,0.5906365395917818,0.3557791768458991,0.23485736274588265
510,0.10269048810005188,,,
520,0.6550984978675842,,,
530,0.17569971084594727,,,
540,0.22314143180847168,,,
550,0.27272987365722656,,,
560,0.010446419939398766,,,
570,0.05231737345457077,,,
580,0.06587371230125427,,,
590,0.028155850246548653,,,
600,0.042131949216127396,,,
610,0.005542244296520948,,,
620,0.1372741013765335,,,
630,0.019938522949814796,,,
640,0.27460429072380066,,,
650,0.03995969519019127,,,
660,0.5714064836502075,,,
670,0.16320128738880157,,,
680,0.11973994225263596,,,
690,0.05155913531780243,,,
700,0.11114826798439026,,,
710,0.3000468909740448,,,
720,0.08187267184257507,,,
730,0.05734986066818237,,,
740,0.012293732725083828,,,
750,0.04388201981782913,,,
760,0.04468362405896187,,,
770,0.005539442412555218,,,
780,0.007639966905117035,,,
790,0.07122261822223663,,,
800,0.258322149515152,,,
810,0.09852077066898346,,,
820,0.031193986535072327,,,
830,0.0626874789595604,,,
840,0.06422538310289383,,,
850,0.17518486082553864,,,
860,0.0671905055642128,,,
870,0.042860887944698334,,,
880,0.06933500617742538,,,
890,0.04772530123591423,,,
900,0.13428106904029846,,,
910,0.08103621006011963,,,
920,0.24264702200889587,,,
930,0.022351562976837158,,,
940,0.041236624121665955,,,
950,0.09556703269481659,,,
960,0.11455266177654266,,,
970,0.18672266602516174,,,
980,0.006562867201864719,,,
990,0.054101236164569855,,,
1000,0.20597483217716217,0.5906365395917818,0.306092002216483,0.2845445373752988
1010,0.058650217950344086,,,
1020,0.8412114977836609,,,
1030,0.02933688275516033,,,
1040,0.9299737811088562,,,
1050,0.8072942495346069,,,
1060,0.09907882660627365,,,
1070,0.3009192943572998,,,
1080,0.05089268088340759,,,
1090,0.20806260406970978,,,
1100,0.4179275631904602,,,
1110,0.07871179282665253,,,
1120,0.706966757774353,,,
1130,0.009213125333189964,,,
1140,0.3174686133861542,,,
1150,0.2101653516292572,,,
1160,0.05417769402265549,,,
1170,0.016754766926169395,,,
1180,0.009408794343471527,,,
1190,0.5373278260231018,,,
1200,0.21281322836875916,,,
1210,0.24822625517845154,,,
1220,0.0063195908442139626,,,
1230,0.4514341652393341,,,
1240,0.0362207293510437,,,
1250,0.11049570888280869,,,
1260,0.38134756684303284,,,
1270,0.05146219953894615,,,
1280,0.005604631267488003,,,
1290,0.31973063945770264,,,
1300,0.08760368824005127,,,
1310,0.011997006833553314,,,
1320,0.004863399546593428,,,
1330,0.011085296981036663,,,
1340,0.0114351287484169,,,
1350,0.1099151074886322,,,
1360,0.05658567324280739,,,
1370,0.04601594805717468,,,
1380,0.6436614394187927,,,
1390,0.1033056229352951,,,
1400,0.007096335757523775,,,
1410,0.06635050475597382,,,
1420,0.2971104085445404,,,
1430,0.14690075814723969,,,
1440,0.0072224861942231655,,,
1450,0.11043281108140945,,,
1460,0.03789037466049194,,,
1470,0.1732209026813507,,,
1480,0.12364883720874786,,,
1490,0.07984821498394012,,,
1500,0.2053091675043106,0.5906365395917818,0.30669927226637994,0.2839372673254018
1510,0.04219880327582359,,,
1520,0.005601716693490744,,,
1530,0.2259691059589386,,,
1540,0.09343726933002472,,,
1550,0.1302681267261505,,,
1560,0.0778026357293129,,,
1570,0.008365853689610958,,,
1580,0.006865390110760927,,,
1590,0.08145783096551895,,,
1600,0.03007456846535206,,,
1610,0.08787886053323746,,,
1620,0.08906847983598709,,,
1630,0.02059689536690712,,,
1640,0.1859552562236786,,,
1650,0.6817117929458618,,,
1660,0.06867389380931854,,,
1670,0.6563527584075928,,,
1680,0.14527717232704163,,,
1690,0.006104322616010904,,,
1700,0.07405955344438553,,,
1710,0.04990675300359726,,,
1720,0.005632954183965921,,,
1730,0.0412844717502594,,,
1740,0.059622857719659805,,,
1750,0.011511406861245632,,,
1760,0.07507357001304626,,,
1770,0.11450615525245667,,,
1780,0.44261041283607483,,,
1790,0.8362418413162231,,,
1800,0.13395704329013824,,,
1810,0.1203213557600975,,,
1820,0.022588584572076797,,,
1830,0.0427132174372673,,,
1840,0.040051233023405075,,,
1850,0.12174403667449951,,,
1860,0.017023706808686256,,,
1870,0.15025268495082855,,,
1880,0.010479492135345936,,,
1890,0.007203201297670603,,,
1900,0.10655854642391205,,,
1910,0.12113174796104431,,,
1920,0.07452715188264847,,,
1930,0.015117926523089409,,,
1940,0.07518056035041809,,,
1950,0.07759751379489899,,,
1960,0.054977674037218094,,,
1970,0.012551497668027878,,,
1980,0.09463885426521301,,,
1990,0.00648388359695673,,,
2000,0.5392516851425171,0.5906365395917818,0.38294635189804865,0.2076901876937331
